iter	Logloss
0	0.6866721857
1	0.6802697701
2	0.6745226175
3	0.6687287715
4	0.6629395989
5	0.6584719384
6	0.6541783685
7	0.6502088511
8	0.6461986859
9	0.6419263116
10	0.6386619484
11	0.6353023577
12	0.631604663
13	0.6281835575
14	0.6253840098
15	0.6222143479
16	0.6193315259
17	0.6169375634
18	0.6147344592
19	0.6122684218
20	0.6099344998
21	0.6078047828
22	0.6060019191
23	0.6034057193
24	0.6015822679
25	0.5998757335
26	0.5980040612
27	0.5961612937
28	0.5948442035
29	0.5934072868
30	0.5918256523
31	0.5906431142
32	0.5892407828
33	0.5877427917
34	0.5865490215
35	0.5852380716
36	0.5841637433
37	0.5832078352
38	0.5820553972
39	0.5809798801
40	0.5799468202
41	0.5791727983
42	0.5782984185
43	0.5776083427
44	0.5769330204
45	0.5760303506
46	0.5753796796
47	0.5746729968
48	0.5741442992
49	0.5736304645
50	0.5729819727
51	0.572492059
52	0.5719060529
53	0.5713095089
54	0.5708194762
55	0.5703130994
56	0.569854392
57	0.5694573188
58	0.5690826425
59	0.568657786
60	0.5679368117
61	0.5675476258
62	0.5670934185
63	0.5666927962
64	0.5663970232
65	0.5659416163
66	0.5656301044
67	0.5652494292
68	0.5648869612
69	0.5646324114
70	0.5642935175
71	0.5638658695
72	0.5635291167
73	0.5632285845
74	0.5630269015
75	0.5627153002
76	0.5623080531
77	0.5619646072
78	0.5616554169
79	0.5612798372
80	0.5609443952
81	0.5606751737
82	0.5604054747
83	0.5601495357
84	0.5600264953
85	0.559655867
86	0.5594046114
87	0.5591525652
88	0.5588926471
89	0.5585856178
90	0.5583788692
91	0.558085583
92	0.557688136
93	0.5574844712
94	0.5572736478
95	0.5570214058
96	0.5567604179
97	0.5563988522
98	0.5561668399
99	0.5558208589
100	0.555662175
101	0.5555360755
102	0.5553387254
103	0.5551963752
104	0.555002007
105	0.5548803248
106	0.5546549325
107	0.5544440451
108	0.5541769321
109	0.5539732228
110	0.553745907
111	0.5535776512
112	0.5533656387
113	0.5532275433
114	0.5530135779
115	0.5528349066
116	0.552710971
117	0.5525599654
118	0.5522954769
119	0.5520497045
120	0.551876243
121	0.5517687057
122	0.551601377
123	0.5514529936
124	0.5512908595
125	0.5511537781
126	0.5509621425
127	0.5508728062
128	0.5507542969
129	0.5506341429
130	0.5505297089
131	0.5503829217
132	0.5502186683
133	0.5501159091
134	0.5499367598
135	0.5497209618
136	0.5496496257
137	0.5494699696
138	0.5492775202
139	0.549143341
140	0.5490132873
141	0.5488299147
142	0.5487210134
143	0.5486099395
144	0.5484919732
145	0.5483265635
146	0.5481741767
147	0.5480709973
148	0.5479862324
149	0.5478374204
150	0.5476371409
151	0.5475051007
152	0.5473580801
153	0.5472735808
154	0.5469972419
155	0.5468561371
156	0.546711721
157	0.5465607435
158	0.5464259066
159	0.5463146205
160	0.5462145484
161	0.5461093864
162	0.5459648874
163	0.5458463109
164	0.545682189
165	0.5455388087
166	0.5453254185
167	0.5452044834
168	0.5450256463
169	0.5449575308
170	0.5448242139
171	0.5446959279
172	0.5445166165
173	0.544326341
174	0.5442373787
175	0.5441087245
176	0.5440071255
177	0.5439156004
178	0.54378151
179	0.5435649993
180	0.5434929625
181	0.5434414124
182	0.543355083
183	0.5432295215
184	0.5431664828
185	0.54307396
186	0.5429923649
187	0.5429031439
188	0.5428085174
189	0.5426718212
190	0.5425143157
191	0.5423205769
192	0.5422381929
193	0.542074261
194	0.5420139117
195	0.5418431534
196	0.5417155299
197	0.5415730644
198	0.5414360097
199	0.5412943042
200	0.5411156075
201	0.5408859194
202	0.5408458885
203	0.5407308782
204	0.5405851081
205	0.5405241003
206	0.540406119
207	0.5402716229
208	0.5401394059
209	0.5400596693
210	0.5400012048
211	0.5399355839
212	0.5398321745
213	0.539722534
214	0.5395755077
215	0.5394781911
216	0.539391631
217	0.5392086704
218	0.5391076558
219	0.539016304
220	0.538896439
221	0.5387476431
222	0.5386992799
223	0.5385372246
224	0.5385055785
225	0.5383976396
226	0.5381590046
227	0.5379978647
228	0.5379609198
229	0.5378748727
230	0.5377809637
231	0.5376832824
232	0.5375699888
233	0.5375342665
234	0.5374333361
235	0.5373563737
236	0.5372888586
237	0.5372397006
238	0.5371436243
239	0.5369597188
240	0.5368853654
241	0.5367690606
242	0.5367069818
243	0.5365738632
244	0.5365022706
245	0.5364215626
246	0.5363362584
247	0.5362107883
248	0.5360524163
249	0.5359939602
250	0.5359000925
251	0.5358590652
252	0.5358077755
253	0.5356913848
254	0.5356190802
255	0.535409039
256	0.5353150772
257	0.5352261428
258	0.5351729474
259	0.535086296
260	0.5349799052
261	0.5349675065
262	0.5348439199
263	0.5348160183
264	0.5347268489
265	0.5346798309
266	0.5345297765
267	0.5344392523
268	0.5342649437
269	0.5341384148
270	0.5340343873
271	0.5338202538
272	0.5337383727
273	0.5336410587
274	0.5335920454
275	0.5334988219
276	0.5334283368
277	0.5333658164
278	0.5332845608
279	0.5332443671
280	0.5331336084
281	0.5330877121
282	0.5329570999
283	0.5329069751
284	0.5328389333
285	0.5327877231
286	0.5326841743
287	0.5326364982
288	0.5324851901
289	0.5323980949
290	0.5322036383
291	0.5321362954
292	0.5319733228
293	0.5318394578
294	0.5317755938
295	0.5316816905
296	0.5315819164
297	0.5315490998
298	0.5314601847
299	0.5313520603
300	0.53128349
301	0.5312260583
302	0.5311295506
303	0.5310575685
304	0.5310185692
305	0.5308477117
306	0.5308465409
307	0.5307973035
308	0.5307553011
309	0.5306994939
310	0.5306473712
311	0.5305473806
312	0.5305003923
313	0.5303583274
314	0.5303345324
315	0.5302206693
316	0.5301454789
317	0.5301052872
318	0.5300527046
319	0.5300312353
320	0.5299778552
321	0.5298340037
322	0.5297583442
323	0.5295689264
324	0.5294251422
325	0.5292456287
326	0.5291438152
327	0.5290873284
328	0.5289710373
329	0.5288974069
330	0.5288612182
331	0.5288075441
332	0.52873984
333	0.5286054985
334	0.5285130515
335	0.5283851737
336	0.5283002582
337	0.528181425
338	0.5281025579
339	0.5280678512
340	0.5279137226
341	0.5278267679
342	0.5277570613
343	0.5276692712
344	0.5274829338
345	0.5274365089
346	0.5272927934
347	0.5271798739
348	0.5270468604
349	0.5269378618
350	0.5268892909
351	0.5268109928
352	0.5266720167
353	0.526567885
354	0.5264674137
355	0.5264046949
356	0.526293111
357	0.5262046107
358	0.5261158912
359	0.5259801865
360	0.5259305045
361	0.525875599
362	0.5256909191
363	0.5256097366
364	0.5255012579
365	0.525470491
366	0.5252922945
367	0.5251642412
368	0.525022653
369	0.5249578682
370	0.5248285594
371	0.5247608078
372	0.5246918841
373	0.5244950509
374	0.5243225101
375	0.5242569192
376	0.5240965652
377	0.5239715169
378	0.523878921
379	0.5237761547
380	0.5236518224
381	0.5235200596
382	0.5234598766
383	0.5233272088
384	0.5231785557
385	0.5229529818
386	0.5228172257
387	0.5227976152
388	0.5226967385
389	0.5226128355
390	0.5225101439
391	0.5224003328
392	0.5223268904
393	0.5222663732
394	0.5221517396
395	0.5220495454
396	0.5219176962
397	0.5217810927
398	0.521622057
399	0.521503731
400	0.5214365697
401	0.5212994361
402	0.5211976834
403	0.5209979185
404	0.5208311458
405	0.5207560383
406	0.5206079556
407	0.5205338264
408	0.5204711328
409	0.5203173206
410	0.5201523452
411	0.520029624
412	0.5199215278
413	0.5197841875
414	0.5196585411
415	0.5195852227
416	0.5195114884
417	0.519327137
418	0.519205941
419	0.5190430481
420	0.5188346278
421	0.5186337632
422	0.5184672767
423	0.5183932483
